Rank,WCA ID,Name,Elo
1,2022CHEN37,Caleb Chen,2595
2,2015SANC11,Nicolás Sánchez,2453
3,2017GARR05,Luke Garrett,2391
4,2019REDI02,Dominic Redisi,2384
5,2015CHER07,Tommy Cherry,2282
6,2015GRIE02,Luke Griesser,2247
7,2013BARK01,Justin Barker,2219
8,2016PARK02,Eli Parker,2218
9,2022NUNE03,Matias Marcantoni-Nunez,2166
10,2015TANG04,Calix Tang,2130
11,2018CREE01,Kerry Creech,2127
12,2017SANK04,Vishwa Sankar,2105
13,2021TRAN06,Reed Tran,2103
14,2017JAMP01,Ashten L. Jampayas,2101
15,2010HULL01,Katie Hull,2098
16,2017SWOR01,Noah Swor,2092
17,2016MULL04,Daniel Mullen,2073
18,2017MORR05,Micah Morrison,2070
19,2014STIN01,Jared Stinson,2035
20,2022EERN01,Mikhah Eernisse,2032
21,2017LAMB06,Andreas Lambropoulos,2030
22,2019PERS02,Alexander Persaud,2024
23,2015MINK04,Kevin Min,2023
24,2017SEOH01,Heewon Seo,2021
25,2016BROO08,Owen Brooks,2009
26,2016OCHS01,Zachary Ochs,1984
27,2016HART02,Sean Hartman,1981
28,2017KULK10,Pranav Kulkarni,1968
29,2012PARK03,Max Park,1965
30,2015MILL01,Dylan Miller,1961
31,2022BAOF01,Fiona Bao,1946
32,2022MOOR08,Joshua Moore,1943
33,2022STOU01,Rowan Stough,1942
34,2022DINC01,Ayden Dincher,1926
35,2016PILA03,Ryan Pilat,1922
36,2016LENT01,Miles Lentz,1920
37,2018WILS10,Keon Wilson,1916
38,2017RICH02,Braden Richards,1906
39,2021RIZZ01,Crimson Rizzo,1904
40,2016BITZ01,Carter Bitz,1904
41,2016BALA15,Jared Balassaitis,1893
42,2017NIEL03,Michael Nielsen,1859
43,2017PORT04,Daniel Porter,1856
44,2013JOHN10,Brian Johnson,1856
45,2017SUNC02,Christopher Sun,1849
46,2018BOHA01,Alex Bohac,1845
47,2015MCAC01,Teri McAcy,1843
48,2021GIAC02,Leo Giacobone,1832
49,2022GREC01,Miles Greco,1829
50,2013BROW04,Evan Brown,1823
51,2017RAND06,Ari Randers-Pehrson,1822
52,2023HECK01,Micah Heckerling,1821
53,2021STRA04,Jude Stradtner,1814
54,2022THIR02,Sarvesh Thirumalai,1808
55,2011FERA01,Joshua Feran,1801
56,2015KAME02,Marcus Kamen,1799
57,2017HICK03,Tyler Hicks,1793
58,2022SCHU05,Henry Schueneman,1792
59,2017STAR04,Silas Starling,1790
60,2019GANT05,Bhuvanesh Ganta,1785
61,2022LEAV01,Orion Leavitt-Lytle,1782
62,2022EDMO01,Owen James Edmondson,1779
63,2017BUEL01,Tyler Buel,1777
64,2014GOSL01,Raymond Goslow,1777
65,2018KHAN28,Zayn Khanani,1774
66,2014TILA01,Jonathan Tilahun,1770
67,2022BUTL02,Kellan Butler,1766
68,2022LEAC01,George Maxwell Leach,1759
69,2016SANC39,Lucas Sanchez,1750
70,2018GREG01,Soren Gregory,1750
71,2015YORK01,Daniel York,1742
72,2016LAYU01,Lorenzo Layug,1740
73,2016FEIS01,Sujan Feist,1740
74,2013SAVI01,Henry Savich,1737
75,2022WERN02,Max Werner,1732
76,2017CHAN07,Sumanth Chandrupatla,1732
77,2022LIWO01,Lucas Liwosz,1729
78,2014KOHA01,Thomas Kohann,1729
79,2010WHIT05,Zachary White,1726
80,2016SKIN01,Sean Skinner,1726
81,2016CHOW04,Waden Cho,1720
82,2016NUNE11,Brandon Nunez,1719
83,2010AMBR01,Jacob Ambrose,1718
84,2022OUEL01,Breylan Hamilton Ouellette,1718
85,2015MACK06,Zeke Mackay,1717
86,2016KAMA04,AJ Kamal,1715
87,2015BEUG01,David Beugnon,1714
88,2016VALE01,Zavian Valedon,1713
89,2019BISH01,Ryan Bishop,1713
90,2022MCCO03,Will McCoy,1708
91,2015VANL01,Luke Van Laningham,1705
92,2018LITT03,Jacob Littleton,1700
93,2017MCKE02,Aidan McKenzie,1698
94,2014OLAR02,James Olarte,1696
95,2015VIRA02,Azhar Virani,1690
96,2019BEAR03,Leyton Beardslee,1689
97,2022SMIT29,Eli Smith,1689
98,2017WOFF01,Roman Wofford,1688
99,2020ARTZ01,Eddie Artze,1688
100,2022RAJE06,Kavin Rajendran,1686
101,2022CHAP06,Douglas Chaplow,1685
102,2015MATE03,Keenan Matelski,1680
103,2017BRYA01,Thomas Bryan,1676
104,2016REDD10,Raghav Reddy,1675
105,2024HADY02,Rakan El Hady,1670
106,2014COLL02,Jeremy Collins,1670
107,2019SULL01,Tate Sullivan,1667
108,2022GUER14,Daniel Guerra,1664
109,2015HADA01,Garrett Hadaway,1663
110,2022PEAC02,Easan Peacock,1662
111,2017KOCH08,Tyler Kochy,1658
112,2019DRES01,CJ Dresdner,1657
113,2019FRAG03,Solomon Fraga,1656
114,2017HUYN02,Timothy Huynh,1653
115,2019REMI02,Matthew Remington,1652
116,2019BONE03,Antonio Bonessi,1650
117,2022SCOT04,Isaiah Scott,1648
118,2014NICH02,Dalton Nichols,1648
119,2017MORR06,Owen Morrison,1647
120,2014LUKE01,Dillon Luke,1643
121,2015LIUZ08,Zifeng Liu (刘子枫),1641
122,2022LAMJ01,Jacob Lam,1632
123,2016YODE01,David Yoder,1628
124,2018SAYS01,Josiah Samuel Saysombath,1625
125,2016SIEG01,Matthew Siegel,1624
126,2021WEIA01,Aiden Yudong Wei,1623
127,2023STON03,Austin Ray Stone,1621
128,2015KUCA01,Carter Kucala,1617
129,2013LANG03,Mason Langenderfer,1615
130,2016ALBR01,John Albright,1611
131,2022THOM38,MJ Thomas,1609
132,2022TRAN27,Dang Tran,1609
133,2022CHEN49,Lucas Y. Chen,1608
134,2023HAME05,Euan Ham,1604
135,2015DIZO02,Kieran Dizon,1603
136,2018GRAH05,Kate Grahame,1596
137,2018TRAN09,Tien Tran,1590
138,2016MUND01,Pratyush Mundra,1587
139,2023ZODE01,Preston Zoder,1586
140,2017HICK04,Daniel Hicklin,1580
141,2023EPPE02,Tyndale Epperson,1577
142,2018WEBE04,Samuel Weber,1575
143,2023MEDP01,Amit Medpalliwar,1575
144,2017MAIO01,Santino Maiorino,1575
145,2017BAIA01,Ryan Baiano,1573
146,2019PERE07,Ryan Perez,1573
147,2012MISH01,Siddhikant Mishra,1569
